,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
OriginProvince,,,,,,,,,,
anhui,1,0,0,1,1,8,2,2,5,0
beijing,0,0,1,1,0,1,0,0,0,0
chongqing,0,1,2,0,1,3,2,2,0,1
fujian,2,7,8,7,21,13,23,17,0,2
gansu,0,0,1,1,1,3,1,0,0,2
guangdong,6,8,4,10,2,17,17,7,15,7
guangxi,7,3,6,18,29,6,6,5,1,1
guizhou,10,16,6,4,11,8,0,2,0,1
hainan,0,0,0,0,0,0,0,1,0,0
hebei,5,14,7,15,8,11,19,12,5,4
henan,63,83,62,47,34,33,20,5,5,2
hubei,1,2,2,4,1,3,2,1,1,0
hunan,1,1,2,1,4,3,2,2,0,0
jiangsu,2,4,5,8,9,7,4,6,4,2
jiangxi,2,5,3,2,15,9,28,3,2,0
jilin,0,0,0,0,1,0,1,0,0,0
liaoning,0,0,0,2,1,1,0,1,0,0
neimenggu,0,0,0,0,0,2,3,3,1,0
ningxia,0,0,0,1,0,0,0,0,0,0
shandong,17,18,22,16,35,44,42,28,7,4
shanghai,0,1,3,2,0,1,1,0,0,0
shanxi,11,5,4,12,16,15,11,16,10,2
sichuan,8,19,21,15,35,42,24,57,9,24
tianjin,0,0,0,0,0,1,1,0,1,0
xinjiang,0,0,0,0,0,1,0,0,0,0
yunan,21,55,46,62,34,48,81,25,18,4
zhejiang,5,3,2,3,5,11,13,15,4,2