Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
beijing,11115,12153.03,14113.58,16251.93,17879.40,19800.81,21330.83,23014.59,25669.13,28014.94
tianjin,6719.01,7521.85,9224.46,1307.28,12893.88,14442.01,15726.93,16538.19,17885.39,18549.19
hebei,16011.97,17235.48,20394.26,24515.76,26575.01,28442.95,29421.15,29806.1,32070.45,34016.32
shanxi,7315.4,7358.31,9200.86,11237.55,12112.83,12665.25,12761.49,12766.49,13050.41,15528.42
neimenggu,8496.2,9740.25,1672,14359.88,15880.58,16916.5,17770.19,17831.51,18128.1,16096.21
liaoning,13668.58,15212.49,18457.27,22226.7,24846.43,27213.22,28626.58,28669.02,2246.9,23409.24
jilin,6426.1,7278.75,8667.58,10568.83,11939.24,13046.4,13803.14,14063.13,14776.8,14944.53
shanghai,14069.86,15046.45,17165.98,19195.69,20181.72,21818.15,23567.7,25123.45,28178.65,30632.99
jiangsu,30981.98,34457.30,41425.48,49110.27,54058.22,59753.37,65088.32,70116.38,77388.28,85869.76
zhejiang,21462.69,22990.35,27722.31,32318.85,34665.33,37756.58,40173.03,4286.49,47251.36,51768.26
anhui,8851.66,10062.82,12359.33,15300.65,1212.05,19229.34,20848.75,22005.63,24407.62,27018.00
fujian,10823.01,12236.53,14737.12,17560.18,19701.78,21868.49,24055.76,25979.82,2810.58,32182.09
jiangxi,6971.05,7655.18,9451.26,11702.82,12948.8,14410.19,15714.63,16723.78,18499,20006.31
shandong,30933.28,33896.65,39169.92,45361.85,50013.24,55230.32,59426.59,63002.33,68024.49,72634.15
henan,18018.53,19480.46,23093.36,26931.03,29599.31,32191.3,34938.24,37002.16,40471.79,44552.83
hubei,113228.89,12961.1,15967.61,19632.26,22250.45,24791.83,27379.22,29550.19,32665.38,35478.09
hunan,11555,13059.69,16037.96,19669.56,22154.23,24621.67,27037.32,28902.21,31551.37,33902.96
guangdong,36796.71,39482.56,46013.06,53210.56,57067.92,62474.79,67809.85,72812.55,80854.91,89705.23
guanxi,7021,7759.16,9569.85,11720.87,13035.1,14449.9,15672.89,16803.12,18317.64,18523.26
hainan,1503.06,1654.21,2064.5,2522.66,2855.54,3177.56,3500.72,3703.76,4053.2,4462.54
chongqing,5793.66,6530.01,7925.58,10011.37,11409.6,1273.26,14262.6,15717.27,17740.59,19424.73
sichuan,12601.23,14151.28,17185.48,21026.68,23872.8,26392.07,28536.66,30053.1,32934.54,36980.22
guizhou,3561.56,3912.68,4602.16,5701.84,6852.2,8086.86,9266.39,10502.56,11776.73,13540.83
yunnan,5692.12,6169.75,7224.18,8893.12,10309.47,11832.31,12814.59,13619.17,14788.42,16376.34
gansu,3166.82,3387.56,4120.75,5020.37,5650.2,6330.69,6836.83,6790.32,7200.37,7459.9
ningxia,1203.92,1353.31,1689.65,2102.21,2341.29,2577.57,2752.1,2911.77,3168.59,3443.56
xinjiang,4183.21,4277.05,5437.47,6610.05,7505.31,8443.84,9273.46,9324.8,9649.7,10881.96